"","gene_symbols","logFC","logCPM","LR","PValue","FDR"
"ENSG00000069011","PITX1",6.2069553559839,3.64506276235267,30.0060481033042,4.30700838829502e-08,1.30631564416988e-05
"ENSG00000079102","RUNX1T1",-6.40492450252674,4.67071442158652,26.4934145983316,2.64438044189812e-07,4.75602475928751e-05
"ENSG00000101938","CHRDL1",4.32542210989639,3.86441773475378,22.6460387674172,1.94761336851518e-06,0.000186933903376789
"ENSG00000102287","GABRE",-5.77498965298698,3.82088234347019,22.8245755914145,1.77481646992804e-06,0.000179433945109725
"ENSG00000103241","FOXF1",5.44389852877582,2.45522076415325,21.1711994393984,4.20029212286118e-06,0.000320459391239462
"ENSG00000105976","MET",4.97609099404118,3.06166886107078,27.0877029295831,1.94430825798177e-07,3.98793391101537e-05
"ENSG00000108691","CCL2",6.52595470402173,4.24314339233157,38.8616884128079,4.54921808147153e-10,1.03392227911338e-06
"ENSG00000114948","ADAM23",4.02595221704038,2.54880189493311,36.625129888597,1.43174037095892e-09,1.44748951503946e-06
"ENSG00000130675","MNX1",-5.66892590958187,3.03692629534135,22.4089611800377,2.20343538207177e-06,0.000201295768488665
"ENSG00000136244","IL6",6.41726622608784,4.15202342618135,38.1050809668649,6.70353408837767e-10,1.03392227911338e-06
"ENSG00000137801","THBS1",4.28568619729579,9.09737962454342,28.6459711813508,8.68945887226505e-08,2.12845021309102e-05
"ENSG00000149948","HMGA2",4.9100548946388,3.40656659466082,36.8786828718379,1.25712959105369e-09,1.36174073202351e-06
"ENSG00000163735","CXCL5",5.02209177893497,2.40792658995093,26.719264157254,2.35264270301887e-07,4.4368028126452e-05
"ENSG00000163792","TCF23",4.33789605993739,2.34867880510047,20.3012335602503,6.61579168277063e-06,0.000426929705826453
"ENSG00000166450","PRTG",-4.93647949190058,2.47522272813851,22.7560163929894,1.83927407596248e-06,0.000181120723129682
"ENSG00000169439","SDC2",4.5421561695878,3.36112696912463,27.2621892470632,1.77651637425263e-07,3.74315783934044e-05
"ENSG00000169851","PCDH7",6.59499524922632,3.11120188742733,20.6999112507222,5.37184915185691e-06,0.000375410563999585
"ENSG00000172987","HPSE2",-5.4816519014432,2.98990187928573,23.8837068627151,1.02334225731297e-06,0.000116684100241738
"ENSG00000185008","ROBO2",-7.49014094016013,3.93909926705269,26.840097928203,2.21003824497826e-07,4.26845308034956e-05
"ENSG00000206384","COL6A6",-4.96237517915307,4.62484711392335,31.6166583699343,1.8781157570681e-08,9.18762111481862e-06
"ENSG00000225972","MTND1P23",4.76020599126822,2.82679949227495,31.0963453800403,2.45533244318018e-08,1.0462638314647e-05
"ENSG00000233098","LOC339260",4.01575341653707,2.73205155519843,21.3472740746666,3.83165184193005e-06,0.000301072539807612
"ENSG00000242985","RN7SL50P",-4.38058722518571,2.19005734860742,24.3823680663843,7.8988336179469e-07,9.8725788016898e-05
"ENSG00000276107",NA,4.93181000421095,2.80206642190809,30.7120496235659,2.99300628328568e-08,1.11344736562475e-05
